"Net generation for all sectors"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=g084&geo=fvvvvvvvvvvvo&sec=g&freq=A&start=2001&end=2024&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin="
"Source: U.S. Energy Information Administration"
"description","units","source key","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Michigan",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,,,,,
"Michigan : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-MI-99.A",111846,117889,111347,118487,121620,112557,119310,114990,101203,111551,109170,108158,105418,106817,113008,112122,112314,115837,116701,106625,115513,117497,120657,124200
"Michigan : other renewables",,"ELEC.GEN.AOR-MI-99.A",,,,,,,,,,,,,,,,,,,,,,,,
"Michigan : wind","thousand megawatthours","ELEC.GEN.WND-MI-99.A",0,0,3,2,2,2,3,141,300,360,456,1132,2800,3868,4797,4696,5191,5457,5826,6735,7697,9151,8292,9839
"Michigan : all solar","thousand megawatthours","ELEC.GEN.TSN-MI-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",35,39,64,129,197,253,310,616,1105,1566,2205
"Ohio",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,,,,,
"Ohio : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-OH-99.A",142262,147069,146638,148346,156976,155434,155156,153412,136090,143598,135586,129746,137284,134503,123079,119886,120814,127937,121550,122538,125948,135810,133223,142747
"Ohio : other renewables",,"ELEC.GEN.AOR-OH-99.A",,,,,,,,,,,,,,,,,,,,,,,,
"Ohio : wind","thousand megawatthours","ELEC.GEN.WND-OH-99.A","--","--","--","--",13,14,15,15,14,13,198,985,1146,1153,1203,1245,1589,1750,2043,2289,2587,3154,2819,2822
"Ohio : all solar","thousand megawatthours","ELEC.GEN.TSN-OH-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",137,151,173,234,272,336,400,950,1247,1800,4510
"Wisconsin",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,,,,,
"Wisconsin : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-WI-99.A",58763,58431,60122,60445,61825,61640,63391,63480,59959,64314,63289,63751,65963,61065,66360,64967,65107,65937,62774,61449,64276,61239,62549,65276
"Wisconsin : other renewables",,"ELEC.GEN.AOR-WI-99.A",,,,,,,,,,,,,,,,,,,,,,,,
"Wisconsin : wind","thousand megawatthours","ELEC.GEN.WND-WI-99.A",72,46,98,104,93,101,109,487,1052,1088,1188,1558,1558,1618,1589,1515,1641,1638,1878,1763,1593,1816,1738,1994
"Wisconsin : all solar","thousand megawatthours","ELEC.GEN.TSN-WI-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",25,29,37,77,115,139,223,549,1027,1564,3250
"West North Central",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,,,,,
"West North Central : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-WNC-99.A",281693,294304,300682,299483,303784,305615,315346,317700,315778,332835,332902,327475,330302,338303,329479,325988,340046,353902,344147,336428,358241,376502,351225,354289
"West North Central : other renewables",,"ELEC.GEN.AOR-WNC-99.A",,,,,,,,,,,,,,,,,,,,,,,,
"West North Central : wind","thousand megawatthours","ELEC.GEN.WND-WNC-99.A",1428,2305,2467,2632,4130,6144,7536,12454,19637,24182,31288,37561,44436,49249,51867,60923,72542,72907,82465,101616,115451,137224,125583,134372
"West North Central : all solar","thousand megawatthours","ELEC.GEN.TSN-WNC-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",172,240,325,1055,1660,2022,2650,3310,3796,4586,5670
"Iowa",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,,,,,
"Iowa : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-IA-99.A",40659,42528,42116,43248,44156,45483,49789,53087,51860,57509,56372,56675,56671,56853,56659,54393,57910,63381,62650,59637,67207,72982,69837,70464
"Iowa : other renewables",,"ELEC.GEN.AOR-IA-99.A",,,,,,,,,,,,,,,,,,,,,,,,
